No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [mph],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [ft],Pitch Release Side [ft],Pitch Extension [ft],Pitch Break (V) [in],Pitch Break Ind (V) [in],Pitch Break (H) [in],Pitch Strike Zone - Height [ft],Pitch Strike Zone - Offset [ft],Pitch Zone Speed [mph],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [mph],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [ft],Col55,Col56,Hit Ball Flight Time [s],pfxx [in],pfxz [in],x0 [ft],y0 [ft],z0 [ft],vx0 [ft/s],vy0 [ft/s],vz0 [ft/s],ax [ft/s²],ay [ft/s²],az [ft/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [ft],pz [ft],Supervisor
11,9/11/2021,14:51:55,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,65.262,2.99,0.859,1556,77.355,8:30,5.839,2.789,6.324,-68.898,-5.962,-15.118,2.854,2.32,59.336,-10.087,-2.035,0.582,,,,,,,,,,,,8.604,-2.871,-2.845,50.001,6.025,-1.095,-94.79,3.467,7.682,17.014,-34.737,Black,Purple,,,,,{BE516AA3-B1A5-431A-8651-E07FA7D0E0DE},-2.32,2.854,
12,9/11/2021,14:52:14,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,68.435,2.997,-3.588,1669,24.257,6:45,5.509,3.13,6.033,-74.092,-15.44,-5.546,2.118,-0.658,61.328,-11.028,-4.646,0.566,,,,,,,,,,,,1.691,-7.83,-2.848,50.001,5.704,6.312,-98.592,3.434,1.611,20.348,-39.634,Black,Purple,,,,,{C4B63967-D9BE-4B11-B0CE-24771546B14B},0.658,2.118,
13,9/11/2021,14:52:44,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,80.23,0.547,-3.307,1876,303.798,4:15,5.867,2.953,7.231,-45.199,-4.785,5.214,2.596,0.391,73.176,-8.137,-2.301,0.465,,,,,,,,,,,,-3.943,-2.141,-2.766,50.001,5.884,6.608,-116.291,0.135,-5.362,23.195,-35.086,Black,Purple,,,,,{067A8351-FA44-4D65-9AD7-7BDC1F83CD8E},-0.391,2.596,
14,9/11/2021,14:53:00,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,81.453,0.578,-3.661,1757,264.706,2:45,5.865,3.153,7.189,-39.251,0.035,16.483,3.119,1.207,73.628,-6.995,-0.47,0.46,70.523,21.362,-12.233,332,,,,220.434,,,2.829,-10.496,0.676,-2.947,50.001,5.886,7.184,-117.981,0.327,-14.611,25.029,-31.233,Black,Purple,,,,,{0D966715-F3F3-4969-95D0-7D9B73938586},-1.207,3.119,
15,9/11/2021,14:53:12,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,Purple,,,,,{920E7071-9549-4F1F-8990-F9A4B8206755},,,
16,9/11/2021,14:53:32,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,78.718,1.651,-0.37,1892,7.244,6:15,6.157,1.686,7.109,-63.576,-21.272,-2.54,2.357,1.138,72.235,-10.494,-0.86,0.475,,,,,,,,,,,,1.325,-11.765,-1.663,50.001,6.234,0.792,-113.941,1.893,1.733,21.954,-47.56,Black,Purple,,,,,{593C2556-3950-42DE-8DE6-4E44C8C2890E},-1.138,2.357,
17,9/11/2021,14:53:59,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,79.481,0.849,-2.408,1838,269.66,3:00,5.952,2.749,7.042,-42.929,-1.398,17.413,3.146,2.012,71.986,-7.403,0.955,0.472,,,,,,,,,,,,-10.563,-0.211,-2.61,50.001,5.989,4.451,-115.088,0.746,-14.012,23.528,-32.454,Black,Purple,,,,,{A11AE4F2-327F-4E4B-B4D6-D67A3517A9CF},-2.012,3.146,
18,9/11/2021,14:54:25,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,81.268,-4.191,-4.171,1895,220.214,1:15,7.052,2.77,7.312,-17.801,21.893,19.667,1.765,0.633,73.2,-7.624,-0.356,0.462,72.012,25.777,6.809,324,,,,256.82,,,3.578,-12.514,14.631,-2.543,50.001,6.813,8.126,-117.139,-8.985,-17.171,24.686,-12.098,Black,Purple,,,,,{97DFA6BC-73D5-4C2D-8527-105BCDED47AD},-0.633,1.765,
19,9/11/2021,14:55:00,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,65.949,4.328,-0.702,1619,94.043,9:15,5.967,2.946,7.008,-63.108,-2.484,-11.097,4.649,1.383,58.573,-7.928,-2.867,0.575,,,,,,,,,,,,6.016,-1.185,-2.899,50.001,6.21,1.373,-95.34,6.057,5.351,19.226,-33.228,Black,Purple,,,,,{68F3169F-3C14-4DF0-9C34-78C9B6012958},-1.383,4.649,
20,9/11/2021,14:55:27,0,0,Nolan Mederos,{02EEBD84-ED02-499C-AAEC-504F73410396},R,Black,Cole Yennaco,{EAFF9E06-C6AA-42A5-B322-E40B70A8B9C3},R,Purple,-,,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,Purple,,,,,{EE2D7C1F-3B07-4A05-8191-B05DD9B7F668},,,
