No,Date,Time,PA of Inning,Pitch of PA,Pitcher,Pitcher ID,Pitcher Handedness,Pitcher Team,Batter,Batter ID,Batter Handedness,Batter Team,Pitch Set,Col15,Top/Bottom,Col17,Col18,Col19,Pitch Type,Col21,Pitch Call,Col23,Col24,Col25,Col26,Col27,Notes,Pitch Speed [mph],Pitch Launch (V) [°],Pitch Launch (H) [°],Pitch Spin [rpm],Pitch Spin Direction [°],Pitch Spin Tilt,Pitch Release Height [ft],Pitch Release Side [ft],Pitch Extension [ft],Pitch Break (V) [in],Pitch Break Ind (V) [in],Pitch Break (H) [in],Pitch Strike Zone - Height [ft],Pitch Strike Zone - Offset [ft],Pitch Zone Speed [mph],Pitch Approach (V) [°],Pitch Approach (H) [°],Pitch Time [s],Hit Ball Speed [mph],Hit Ball Launch (V) [°],Hit Ball Launch (H) [°],Hit Spin [rpm],Col51,Col52,Col53,Hit Carry Distance [ft],Col55,Col56,Hit Ball Flight Time [s],pfxx [in],pfxz [in],x0 [ft],y0 [ft],z0 [ft],vx0 [ft/s],vy0 [ft/s],vz0 [ft/s],ax [ft/s²],ay [ft/s²],az [ft/s²],Home Team,Away Team,Col71,Col72,Col73,Col74,GUID,px [ft],pz [ft],Supervisor
11,9/11/2021,9:11:50,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Mike  Seibert,{4AD65270-3D70-4BE0-A2F5-F85295C487B2},R,Royal,-,,Bottom,,,,,,,,,,,,,72.846,0.669,-5.299,1795,300.355,4:00,5.932,3.436,7.711,-54.254,-5.447,6.579,2.013,-0.781,66.295,-9.815,-4.022,0.511,,,,,,,,,,,,-5.43,-2.426,-3.179,50.001,5.952,9.626,-104.975,0.313,-5.999,19.402,-34.855,Royal,Navy,,,,,{50E364A8-FF20-46F9-AB6E-656200AB5907},0.781,2.013,
12,9/11/2021,9:12:18,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Mike  Seibert,{4AD65270-3D70-4BE0-A2F5-F85295C487B2},R,Royal,-,,Bottom,,,,,,,,,,,,,73.106,-0.141,-2.824,1783,219.801,1:15,7.103,3.35,7.671,-27.88,20.248,18.959,4.653,2.394,64.764,-5.624,0.915,0.512,,,,,,,,,,,,-12.018,13.22,-3.215,50.001,7.09,4.891,-105.69,-0.734,-13.188,23.019,-17.668,Royal,Navy,,,,,{68668329-6664-4B7E-91D5-BE74BD2C6807},-2.394,4.653,
13,9/11/2021,9:12:31,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Mike  Seibert,{4AD65270-3D70-4BE0-A2F5-F85295C487B2},R,Royal,-,,Bottom,,,,,,,,,,,,,73.123,-0.216,-5.201,1741,244.191,2:15,6.436,3.848,7.942,-40.06,7.853,20.741,2.904,0.922,65.36,-8.078,-1.116,0.509,,,,,,,,,,,,-13.919,5.916,-3.619,50.001,6.419,9.275,-105.445,-1.021,-15.312,21.756,-25.667,Royal,Navy,,,,,{1F60F03C-7C21-4E3D-A241-EDC9946A5861},-0.922,2.904,
14,9/11/2021,9:12:44,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Mike  Seibert,{4AD65270-3D70-4BE0-A2F5-F85295C487B2},R,Royal,-,,Bottom,,,,,,,,,,,,,73.068,-0.228,-3.171,1712,209.83,1:00,6.914,3.148,7.531,-28.217,20.202,12.892,4.357,1.367,65.085,-5.747,-0.643,0.512,,,,,,,,,,,,-8.53,13.005,-2.987,50.001,6.895,5.623,-105.658,-0.924,-9.409,22.063,-17.829,Royal,Navy,,,,,{EF514CA6-F2BF-478A-902A-8DB4F061962A},-1.367,4.357,
15,9/11/2021,9:13:00,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Mike  Seibert,{4AD65270-3D70-4BE0-A2F5-F85295C487B2},R,Royal,-,,Bottom,,,,,,,,,,,,,73.699,1.188,-1.17,1747,233.775,1:45,6.5,3.707,7.6,-43.503,3.687,8.014,3.943,3.324,66.073,-7.318,0.405,0.506,,,,,,,,,,,,-5.032,2.973,-3.65,50.001,6.55,2.041,-106.88,1.451,-5.682,22.489,-28.817,Royal,Navy,,,,,{8B50B51F-885D-43B3-8D44-B012B5A5400B},-3.324,3.943,
16,9/11/2021,9:13:13,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Mike  Seibert,{4AD65270-3D70-4BE0-A2F5-F85295C487B2},R,Royal,-,,Bottom,,,,,,,,,,,,,74.401,-2.01,-5.3,1795,221.487,1:30,7.357,3.347,7.735,-23.125,23.598,22.445,3.62,0.453,66.693,-6.525,-0.914,0.501,54.244,43.999,26.613,632,,,,185.178,,,3.998,-14.7,15.328,-3.095,50.001,7.255,9.563,-107.207,-4.173,-16.852,21.111,-14.601,Royal,Navy,,,,,{19B2B410-19D7-4134-A229-57F1E0E24B85},-0.453,3.62,
17,9/11/2021,9:13:23,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Mike  Seibert,{4AD65270-3D70-4BE0-A2F5-F85295C487B2},R,Royal,-,,Bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal,Navy,,,,,{D51D3841-FC37-4CD5-BE92-CF6A979D87A7},,,
18,9/11/2021,9:13:47,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Aiden Crogan,{7A3CDD07-607B-470D-8415-096EC3AA155C},R,Royal,-,,Bottom,,,,,,,,,,,,,73.505,1.708,-2.929,1808,223.578,1:30,6.713,3.602,7.431,-38.746,9.328,10.911,5.026,1.869,65.622,-5.849,-0.796,0.51,,,,,,,,,,,,-7.254,5.975,-3.448,50.001,6.795,5.234,-106.244,2.456,-8.113,21.844,-25.492,Royal,Navy,,,,,{7668AC92-507C-458D-9DC4-783E5B26616A},-1.869,5.026,
19,9/11/2021,9:14:02,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Aiden Crogan,{7A3CDD07-607B-470D-8415-096EC3AA155C},R,Royal,-,,Bottom,,,,,,,,,,,,,73.767,-0.283,-3.374,1796,222.473,1:30,7.014,3.284,7.545,-31.424,16.121,16.451,4.14,1.616,66.283,-6.399,-0.162,0.506,,,,,,,,,,,,-10.548,10.407,-3.114,50.001,6.991,5.99,-106.639,-1.093,-11.958,20.98,-20.376,Royal,Navy,,,,,{942EA688-164E-47BA-BFC1-7E355AFC62D1},-1.616,4.14,
20,9/11/2021,9:14:25,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Aiden Crogan,{7A3CDD07-607B-470D-8415-096EC3AA155C},R,Royal,-,,Bottom,,,,,,,,,,,,,57.844,2.739,-1.88,1671,82.936,8:45,6.465,3.296,7.743,-83.061,-6.646,-22.338,2.001,-0.251,52.734,-13.367,-6.277,0.645,,,,,,,,,,,,12.277,-2.622,-3.201,50.001,6.579,3.047,-83.897,2.926,8.459,14.862,-33.981,Royal,Navy,,,,,{29B54513-9A05-4686-A599-486231C30D6B},0.251,2.001,
21,9/11/2021,9:14:43,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Aiden Crogan,{7A3CDD07-607B-470D-8415-096EC3AA155C},R,Royal,-,,Bottom,,,,,,,,,,,,,66.438,1.502,-5.477,1782,36.215,7:15,6.29,3.556,7.159,-65.593,-5.42,-2.029,2.191,-1.591,59.982,-11.075,-5.868,0.571,,,,,,,,,,,,-0.759,-2.089,-3.236,50.001,6.357,9.194,-95.509,1.345,-0.684,17.97,-34.057,Royal,Navy,,,,,{15BF84EA-83B9-4931-AB5A-0EB48F6A464F},1.591,2.191,
22,9/11/2021,9:14:58,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Aiden Crogan,{7A3CDD07-607B-470D-8415-096EC3AA155C},R,Royal,-,,Bottom,,,,,,,,,,,,,73.637,2.846,-4.626,1811,254.961,2:30,6.205,3.609,7.369,-47.723,0.692,10.64,4.807,0.311,65.605,-6.434,-2.556,0.512,,,,,,,,,,,,-7.664,0.634,-3.358,50.001,6.348,8.377,-105.992,4.392,-8.532,21.717,-31.468,Royal,Navy,,,,,{EAEBAE41-C55D-446E-90FE-AE90207F953D},-0.311,4.807,
23,9/11/2021,9:15:18,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Aiden Crogan,{7A3CDD07-607B-470D-8415-096EC3AA155C},R,Royal,-,,Bottom,,,,,,,,,,,,,72.965,1.203,-1.478,1703,52.244,7:45,6.266,2.637,7.81,-59.241,-11.606,-12.462,2.407,0.275,66.524,-10.313,-3.924,0.507,62.317,14.113,4.467,317,,,,109.68,,,1.414,6.748,-6.002,-2.565,50.001,6.311,2.94,-106.005,1.255,7.536,21.259,-38.877,Royal,Navy,,,,,{B7083BED-98AD-481C-8047-FB545AE7043C},-0.275,2.407,
24,9/11/2021,9:15:52,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Aiden Crogan,{7A3CDD07-607B-470D-8415-096EC3AA155C},R,Royal,-,,Bottom,,,,,,,,,,,,,73.347,2.19,-2.932,1595,237.691,2:00,6.259,3.088,7.787,-40.268,7.18,14.453,4.867,1.665,65.824,-5.702,-0.093,0.506,,,,,,,,,,,,-9.355,4.562,-2.952,50.001,6.354,5.202,-106.253,3.4,-10.505,21.213,-27.052,Royal,Navy,,,,,{154CA0AF-473B-49FC-AEBF-D3967C4C31D1},-1.665,4.867,
25,9/11/2021,9:16:06,0,0,Nicholas Nasiff,{EAA0FFDB-B2F5-4623-A6AE-E291598A2BC8},R,Navy,Owen Duggan,{3A7260BF-6626-4428-B8BC-2B37801E5AA3},R,Royal,-,,Bottom,,,,,,,,,,,,,72.836,0.909,-1.481,1687,55.035,7:45,6.523,2.863,7.431,-54.268,-5.777,-5.66,2.821,1.056,66.412,-9.57,-2.583,0.511,73.419,37.475,22.963,701,,,,288.109,,,4.527,2.765,-2.554,-2.782,50.001,6.558,2.841,-105.81,0.676,3.09,20.469,-35.028,Royal,Navy,,,,,{4B92C6E0-49CD-4F22-BF46-86E366250F7E},-1.056,2.821,
